showdate,showyear,exclude,position,transition,set,isjam,isreprise,gap,tourname,tourwhen,song,nickname,is_original,venue,city,state,country,trans_mark
1989-01-18,1989,0,1,6,1,0,0,37,1989 Tour,1989,Dear Mrs. Reagan,,1,Gallagher's,Waitsfield,VT,USA,
1989-01-26,1989,0,1,1,1,0,0,9,1989 Tour,1989,I Didn't Know,IDK,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,2,1,1,0,0,9,1989 Tour,1989,Golgi Apparatus,Golgi,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,3,2,1,0,0,9,1989 Tour,1989,Alumni Blues,Alumni,1,The Paradise,Boston,MA,USA,>
1989-01-26,1989,0,4,2,1,0,0,9,1989 Tour,1989,Letter to Jimmy Page,LTJP,1,The Paradise,Boston,MA,USA,>
1989-01-26,1989,0,5,1,1,0,0,0,1989 Tour,1989,Alumni Blues,Alumni,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,6,1,1,0,0,4,1989 Tour,1989,You Enjoy Myself,YEM,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,7,1,1,0,0,9,1989 Tour,1989,The Lizards,Lizards,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,8,1,1,0,0,10,1989 Tour,1989,Take the 'A' Train,'A' Train,0,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,9,1,1,0,0,21,1989 Tour,1989,Sanity,,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,10,1,1,0,0,4,1989 Tour,1989,Divided Sky,Divided,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,11,1,1,0,0,9,1989 Tour,1989,Fee,,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,12,4,1,0,0,9,1989 Tour,1989,Good Times Bad Times,GTBT,0,The Paradise,Boston,MA,USA,
1989-01-26,1989,0,13,1,2,0,0,13,1989 Tour,1989,Suzy Greenberg,Suzy,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,14,1,2,0,0,13,1989 Tour,1989,Icculus,,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,15,2,2,0,0,4,1989 Tour,1989,Colonel Forbin's Ascent,Forbin's,1,The Paradise,Boston,MA,USA,>
1989-01-26,1989,0,16,1,2,0,0,4,1989 Tour,1989,Fly Famous Mockingbird,Mockingbird,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,17,3,2,0,0,9,1989 Tour,1989,The Sloth,Sloth,1,The Paradise,Boston,MA,USA,->
1989-01-26,1989,0,18,1,2,0,0,4,1989 Tour,1989,Possum,,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,19,1,2,0,0,9,1989 Tour,1989,Contact,,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,20,1,2,0,0,15,1989 Tour,1989,Big Black Furry Creature from Mars,BBFCFM,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,21,1,2,0,0,4,1989 Tour,1989,Foam,,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,22,5,2,0,0,4,1989 Tour,1989,David Bowie,Bowie,1,The Paradise,Boston,MA,USA,
1989-01-26,1989,0,23,1,e,0,0,9,1989 Tour,1989,AC/DC Bag,Bag,1,The Paradise,Boston,MA,USA,","
1989-01-26,1989,0,24,6,e,0,0,13,1989 Tour,1989,Fire,,0,The Paradise,Boston,MA,USA,
1989-02-06,1989,0,1,1,1,0,0,4,1989 Tour,1989,Suzy Greenberg,Suzy,1,The Front,Burlington,VT,USA,","
1989-02-06,1989,0,2,2,1,0,0,22,1989 Tour,1989,The Curtain,Curtain,1,The Front,Burlington,VT,USA,>
1989-02-06,1989,0,3,2,1,0,0,13,1989 Tour,1989,Wilson,,1,The Front,Burlington,VT,USA,>
1989-02-06,1989,0,4,1,1,0,0,17,1989 Tour,1989,Peaches en Regalia,Peaches,0,The Front,Burlington,VT,USA,","
1989-02-06,1989,0,5,2,1,0,0,4,1989 Tour,1989,Fee,,1,The Front,Burlington,VT,USA,>
1989-02-06,1989,0,6,1,1,0,0,20,1989 Tour,1989,La Grange,,0,The Front,Burlington,VT,USA,","
1989-02-06,1989,0,7,4,1,0,0,4,1989 Tour,1989,You Enjoy Myself,YEM,1,The Front,Burlington,VT,USA,
1989-02-06,1989,0,8,2,2,0,0,46,1989 Tour,1989,All Blues,,0,The Front,Burlington,VT,USA,>
1989-02-06,1989,0,9,1,2,0,0,4,1989 Tour,1989,Sanity,,1,The Front,Burlington,VT,USA,","
1989-02-06,1989,0,10,1,2,0,0,4,1989 Tour,1989,Take the 'A' Train,'A' Train,0,The Front,Burlington,VT,USA,","
1989-02-06,1989,0,11,2,2,0,0,4,1989 Tour,1989,Golgi Apparatus,Golgi,1,The Front,Burlington,VT,USA,>
1989-02-06,1989,0,12,1,2,0,0,4,1989 Tour,1989,Divided Sky,Divided,1,The Front,Burlington,VT,USA,","
1989-02-06,1989,0,13,1,2,0,0,22,1989 Tour,1989,On Your Way Down,,0,The Front,Burlington,VT,USA,","
1989-02-06,1989,0,14,4,2,0,0,4,1989 Tour,1989,I Didn't Know,IDK,1,The Front,Burlington,VT,USA,
1989-02-06,1989,0,15,1,3,0,0,4,1989 Tour,1989,Good Times Bad Times,GTBT,0,The Front,Burlington,VT,USA,","
1989-02-06,1989,0,16,2,3,0,0,17,1989 Tour,1989,Walk Away,,0,The Front,Burlington,VT,USA,>
1989-02-06,1989,0,17,1,3,0,0,20,1989 Tour,1989,Harry Hood,Hood,1,The Front,Burlington,VT,USA,","
1989-02-06,1989,0,18,1,3,0,0,4,1989 Tour,1989,Big Black Furry Creature from Mars,BBFCFM,1,The Front,Burlington,VT,USA,","
1989-02-06,1989,0,19,1,3,0,0,15,1989 Tour,1989,The Ballad of Curtis Loew,Curtis Loew,0,The Front,Burlington,VT,USA,","
1989-02-06,1989,0,20,2,3,0,0,4,1989 Tour,1989,Colonel Forbin's Ascent,Forbin's,1,The Front,Burlington,VT,USA,>
1989-02-06,1989,0,21,2,3,0,0,4,1989 Tour,1989,Fly Famous Mockingbird,Mockingbird,1,The Front,Burlington,VT,USA,>
1989-02-06,1989,0,22,1,3,0,0,16,1989 Tour,1989,Whipping Post,,0,The Front,Burlington,VT,USA,","
1989-02-06,1989,0,23,5,3,0,0,38,1989 Tour,1989,Corinna,,0,The Front,Burlington,VT,USA,
1989-02-06,1989,0,24,6,e,0,0,4,1989 Tour,1989,David Bowie,Bowie,1,The Front,Burlington,VT,USA,
1989-02-07,1989,0,1,2,1,0,0,27,1989 Tour,1989,Esther,,1,The Front,Burlington,VT,USA,>
1989-02-07,1989,0,2,2,1,0,0,24,1989 Tour,1989,McGrupp and the Watchful Hosemasters,McGrupp,1,The Front,Burlington,VT,USA,>
1989-02-07,1989,0,3,1,1,0,0,5,1989 Tour,1989,Foam,,1,The Front,Burlington,VT,USA,","
1989-02-07,1989,0,4,3,1,0,0,5,1989 Tour,1989,The Sloth,Sloth,1,The Front,Burlington,VT,USA,->
1989-02-07,1989,0,5,1,1,0,0,5,1989 Tour,1989,Possum,,1,The Front,Burlington,VT,USA,","
1989-02-07,1989,0,6,2,1,0,0,14,1989 Tour,1989,Mike's Song,Mike's,1,The Front,Burlington,VT,USA,>
1989-02-07,1989,0,7,2,1,0,0,14,1989 Tour,1989,I Am Hydrogen,Hydrogen,1,The Front,Burlington,VT,USA,>
1989-02-07,1989,0,8,1,1,0,0,14,1989 Tour,1989,Weekapaug Groove,Weekapaug,1,The Front,Burlington,VT,USA,","
1989-02-07,1989,0,9,4,1,0,0,1,1989 Tour,1989,Golgi Apparatus,Golgi,1,The Front,Burlington,VT,USA,
1989-02-07,1989,0,10,1,2,0,0,44,1989 Tour,1989,Makisupa Policeman,Makisupa,1,The Front,Burlington,VT,USA,","
1989-02-07,1989,0,11,1,2,0,0,16,1989 Tour,1989,Dinner and a Movie,,1,The Front,Burlington,VT,USA,","
1989-02-07,1989,0,12,2,2,0,0,5,1989 Tour,1989,AC/DC Bag,Bag,1,The Front,Burlington,VT,USA,>
1989-02-07,1989,0,13,1,2,0,0,5,1989 Tour,1989,The Lizards,Lizards,1,The Front,Burlington,VT,USA,","
1989-02-07,1989,0,14,1,2,0,0,21,1989 Tour,1989,Timber (Jerry the Mule),Timber Ho,0,The Front,Burlington,VT,USA,","
1989-02-07,1989,0,15,1,2,0,0,5,1989 Tour,1989,Contact,,1,The Front,Burlington,VT,USA,","
1989-02-07,1989,0,16,2,2,0,0,5,1989 Tour,1989,Alumni Blues,Alumni,1,The Front,Burlington,VT,USA,>
1989-02-07,1989,0,17,2,2,0,0,5,1989 Tour,1989,Letter to Jimmy Page,LTJP,1,The Front,Burlington,VT,USA,>
1989-02-07,1989,0,18,1,2,0,0,0,1989 Tour,1989,Alumni Blues,Alumni,1,The Front,Burlington,VT,USA,","
1989-02-07,1989,0,19,2,2,0,0,1,1989 Tour,1989,Fee,,1,The Front,Burlington,VT,USA,>
1989-02-07,1989,0,20,4,2,0,0,14,1989 Tour,1989,Run Like an Antelope,Antelope,1,The Front,Burlington,VT,USA,
1989-02-07,1989,0,21,1,3,0,0,1,1989 Tour,1989,Sanity,,1,The Front,Burlington,VT,USA,","
1989-02-07,1989,0,22,1,3,0,0,17,1989 Tour,1989,Fluffhead,,1,The Front,Burlington,VT,USA,","
1989-02-07,1989,0,23,2,3,0,0,1,1989 Tour,1989,Suzy Greenberg,Suzy,1,The Front,Burlington,VT,USA,>
1989-02-07,1989,0,24,1,3,0,0,9,1989 Tour,1989,Slave to the Traffic Light,Slave,1,The Front,Burlington,VT,USA,","
1989-02-07,1989,0,25,2,3,0,0,70,1989 Tour,1989,Bike,,0,The Front,Burlington,VT,USA,>
1989-02-07,1989,0,26,5,3,0,0,1,1989 Tour,1989,Whipping Post,,0,The Front,Burlington,VT,USA,
1989-02-07,1989,0,27,6,e,0,0,5,1989 Tour,1989,Fire,,0,The Front,Burlington,VT,USA,
1989-02-11,1989,0,1,1,1,0,0,2,1989 Tour,1989,The Sloth,Sloth,1,Sheehan's,Northampton,MA,USA,","
1989-02-11,1989,0,2,6,1,0,0,3,1989 Tour,1989,Take the 'A' Train,'A' Train,0,Sheehan's,Northampton,MA,USA,
1989-02-23,1989,0,1,1,1,0,0,32,1989 Tour,1989,Satin Doll,,0,The Front,Burlington,VT,USA,","
1989-02-23,1989,0,2,6,1,0,0,207,1989 Tour,1989,Call It Stormy Monday (But Tuesday Is Just As Bad),,0,The Front,Burlington,VT,USA,
1989-04-19,1989,0,1,6,1,0,0,8,1989 Tour,1989,Undun,,0,Johnny D's,Somerville,MA,USA,
1989-05-06,1989,0,1,2,1,0,0,1,1989 Tour,1989,You Enjoy Myself,YEM,1,"Collis Center, Dartmouth College",Hanover,NH,USA,>
1989-05-06,1989,0,2,1,1,0,0,1,1989 Tour,1989,I Didn't Know,IDK,1,"Collis Center, Dartmouth College",Hanover,NH,USA,","
1989-05-06,1989,0,3,2,1,0,0,3,1989 Tour,1989,Mike's Song,Mike's,1,"Collis Center, Dartmouth College",Hanover,NH,USA,>
1989-05-06,1989,0,4,2,1,0,0,3,1989 Tour,1989,I Am Hydrogen,Hydrogen,1,"Collis Center, Dartmouth College",Hanover,NH,USA,>
1989-05-06,1989,0,5,1,1,0,0,3,1989 Tour,1989,Weekapaug Groove,Weekapaug,1,"Collis Center, Dartmouth College",Hanover,NH,USA,","
1989-05-06,1989,0,6,1,1,0,0,3,1989 Tour,1989,Esther,,1,"Collis Center, Dartmouth College",Hanover,NH,USA,","
1989-05-06,1989,0,7,1,1,0,0,2,1989 Tour,1989,The Sloth,Sloth,1,"Collis Center, Dartmouth College",Hanover,NH,USA,","
1989-05-06,1989,0,8,1,1,0,0,2,1989 Tour,1989,Possum,,1,"Collis Center, Dartmouth College",Hanover,NH,USA,","
1989-05-06,1989,0,9,1,1,0,0,13,1989 Tour,1989,Bold As Love,,0,"Collis Center, Dartmouth College",Hanover,NH,USA,","
1989-05-06,1989,0,10,1,1,0,0,3,1989 Tour,1989,AC/DC Bag,Bag,1,"Collis Center, Dartmouth College",Hanover,NH,USA,","
1989-05-06,1989,0,11,2,1,0,0,3,1989 Tour,1989,Colonel Forbin's Ascent,Forbin's,1,"Collis Center, Dartmouth College",Hanover,NH,USA,>
