showdate,showyear,exclude,position,transition,set,isjam,isreprise,gap,tourname,tourwhen,song,nickname,is_original,venue,city,state,country,trans_mark
1989-03-13,1989,0,1,1,1,0,0,3,1989 Tour,1989,You Enjoy Myself,YEM,1,Nectar's,Burlington,VT,USA,","
1989-03-13,1989,0,2,1,1,0,0,3,1989 Tour,1989,Fee,,1,Nectar's,Burlington,VT,USA,","
1989-03-13,1989,0,3,1,1,0,0,75,1989 Tour,1989,Ya Mar,,0,Nectar's,Burlington,VT,USA,","
1989-03-13,1989,0,4,1,1,0,0,5,1989 Tour,1989,Big Black Furry Creature from Mars,BBFCFM,1,Nectar's,Burlington,VT,USA,","
1989-03-13,1989,0,5,4,1,0,0,4,1989 Tour,1989,David Bowie,Bowie,1,Nectar's,Burlington,VT,USA,
1989-03-13,1989,0,6,1,2,0,0,13,1989 Tour,1989,Sanity,,1,Nectar's,Burlington,VT,USA,","
1989-03-13,1989,0,7,1,2,0,0,3,1989 Tour,1989,Take the 'A' Train,'A' Train,0,Nectar's,Burlington,VT,USA,","
1989-03-13,1989,0,8,1,2,0,0,2,1989 Tour,1989,Possum,,1,Nectar's,Burlington,VT,USA,","
1989-03-13,1989,0,9,1,2,0,0,4,1989 Tour,1989,Divided Sky,Divided,1,Nectar's,Burlington,VT,USA,","
1989-03-13,1989,0,10,1,2,0,0,3,1989 Tour,1989,The Lizards,Lizards,1,Nectar's,Burlington,VT,USA,","
1989-03-13,1989,0,11,4,2,0,0,5,1989 Tour,1989,Fire,,0,Nectar's,Burlington,VT,USA,
1989-03-13,1989,0,12,1,3,0,0,9,1989 Tour,1989,Whipping Post,,0,Nectar's,Burlington,VT,USA,","
1989-03-13,1989,0,13,1,3,0,0,3,1989 Tour,1989,I Didn't Know,IDK,1,Nectar's,Burlington,VT,USA,","
1989-03-13,1989,0,14,5,3,0,0,155,1989 Tour,1989,Free Bird,,0,Nectar's,Burlington,VT,USA,
1989-03-13,1989,0,15,6,e,0,0,1,1989 Tour,1989,Golgi Apparatus,Golgi,1,Nectar's,Burlington,VT,USA,
1989-10-10,1989,0,1,1,1,0,0,18,1989 Tour,1989,The Ballad of Curtis Loew,Curtis Loew,0,The Front,Burlington,VT,USA,","
1989-10-10,1989,0,2,2,1,0,0,1,1989 Tour,1989,Alumni Blues,Alumni,1,The Front,Burlington,VT,USA,>
1989-10-10,1989,0,3,2,1,0,0,1,1989 Tour,1989,Letter to Jimmy Page,LTJP,1,The Front,Burlington,VT,USA,>
1989-10-10,1989,0,4,1,1,0,0,0,1989 Tour,1989,Alumni Blues,Alumni,1,The Front,Burlington,VT,USA,","
1989-10-10,1989,0,5,1,1,0,0,1,1989 Tour,1989,Contact,,1,The Front,Burlington,VT,USA,","
1989-10-10,1989,0,6,1,1,0,0,1,1989 Tour,1989,The Lizards,Lizards,1,The Front,Burlington,VT,USA,","
1989-10-10,1989,0,7,1,1,0,0,1,1989 Tour,1989,David Bowie,Bowie,1,The Front,Burlington,VT,USA,","
1989-10-10,1989,0,8,2,1,0,0,3,1989 Tour,1989,McGrupp and the Watchful Hosemasters,McGrupp,1,The Front,Burlington,VT,USA,>
1989-10-10,1989,0,9,1,1,0,0,3,1989 Tour,1989,Who Do? We Do!,,1,The Front,Burlington,VT,USA,","
1989-10-10,1989,0,10,1,1,0,0,4,1989 Tour,1989,Divided Sky,Divided,1,The Front,Burlington,VT,USA,","
1989-10-10,1989,0,11,1,1,0,0,2,1989 Tour,1989,Reba,,1,The Front,Burlington,VT,USA,","
1989-10-10,1989,0,12,2,1,0,0,1,1989 Tour,1989,Mike's Song,Mike's,1,The Front,Burlington,VT,USA,>
1989-10-10,1989,0,13,2,1,0,0,1,1989 Tour,1989,I Am Hydrogen,Hydrogen,1,The Front,Burlington,VT,USA,>
1989-10-10,1989,0,14,5,1,0,0,1,1989 Tour,1989,Weekapaug Groove,Weekapaug,1,The Front,Burlington,VT,USA,
1989-10-10,1989,0,15,6,e,0,0,145,1989 Tour,1989,"Swing Low, Sweet Chariot",,0,The Front,Burlington,VT,USA,
1989-12-30,1989,0,1,3,1,0,0,315,1989 Tour,1989,Fluff's Travels,,1,The Wetlands Preserve,New York,NY,USA,->
1989-12-30,1989,0,2,4,1,0,0,3,1989 Tour,1989,David Bowie,Bowie,1,The Wetlands Preserve,New York,NY,USA,
1989-12-30,1989,0,3,1,2,0,0,4,1989 Tour,1989,Bathtub Gin,Gin,1,The Wetlands Preserve,New York,NY,USA,","
1989-12-30,1989,0,4,1,2,0,0,5,1989 Tour,1989,Split Open and Melt,SOAMelt,1,The Wetlands Preserve,New York,NY,USA,","
1989-12-30,1989,0,5,1,2,0,0,1,1989 Tour,1989,Ya Mar,,0,The Wetlands Preserve,New York,NY,USA,","
1989-12-30,1989,0,6,2,2,0,0,5,1989 Tour,1989,Suzy Greenberg,Suzy,1,The Wetlands Preserve,New York,NY,USA,>
1989-12-30,1989,0,7,1,2,0,0,4,1989 Tour,1989,Foam,,1,The Wetlands Preserve,New York,NY,USA,","
1989-12-30,1989,0,8,2,2,0,0,5,1989 Tour,1989,My Sweet One,MSO,1,The Wetlands Preserve,New York,NY,USA,>
1989-12-30,1989,0,9,1,2,0,0,4,1989 Tour,1989,La Grange,,0,The Wetlands Preserve,New York,NY,USA,","
1989-12-30,1989,0,10,1,2,0,0,1,1989 Tour,1989,Lawn Boy,,1,The Wetlands Preserve,New York,NY,USA,","
1989-12-30,1989,0,11,5,2,0,0,2,1989 Tour,1989,Golgi Apparatus,Golgi,1,The Wetlands Preserve,New York,NY,USA,
1989-12-30,1989,0,12,3,e,0,0,313,1989 Tour,1989,Auld Lang Syne,,0,The Wetlands Preserve,New York,NY,USA,->
1989-12-30,1989,0,13,2,e,0,0,1,1989 Tour,1989,Mike's Song,Mike's,1,The Wetlands Preserve,New York,NY,USA,>
1989-12-30,1989,0,14,2,e,0,0,1,1989 Tour,1989,I Am Hydrogen,Hydrogen,1,The Wetlands Preserve,New York,NY,USA,>
1989-12-30,1989,0,15,6,e,0,0,1,1989 Tour,1989,Weekapaug Groove,Weekapaug,1,The Wetlands Preserve,New York,NY,USA,
