showdate,showyear,exclude,position,transition,set,isjam,isreprise,gap,tourname,tourwhen,song,nickname,is_original,venue,city,state,country,trans_mark
2017-01-12,2017,1,1,1,1,0,0,0,Not Part of a Tour,No Tour,Jam,Jam,0,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,","
2017-01-12,2017,1,2,1,1,0,0,0,Not Part of a Tour,No Tour,Jam,Jam,0,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,","
2017-01-12,2017,1,3,1,1,0,0,0,Not Part of a Tour,No Tour,Sugar Shack,Sugar Shack,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,","
2017-01-12,2017,1,4,6,1,0,0,0,Not Part of a Tour,No Tour,My Soul,My Soul,0,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,
2017-01-13,2017,0,1,1,1,0,0,4,2017 Mexico,2017 Mexico,Free,Free,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,","
2017-01-13,2017,0,2,1,1,0,0,24,2017 Mexico,2017 Mexico,Yarmouth Road,Yarmouth Road,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,","
2017-01-13,2017,0,3,1,1,0,0,1,2017 Mexico,2017 Mexico,Sand,Sand,0,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,","
2017-01-13,2017,0,4,2,1,0,0,3,2017 Mexico,2017 Mexico,Theme From the Bottom,Theme,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,>
2017-01-13,2017,0,5,1,1,0,0,4,2017 Mexico,2017 Mexico,Funky Bitch,Funky Bitch,0,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,","
2017-01-13,2017,0,6,2,1,0,0,15,2017 Mexico,2017 Mexico,Undermind,Undermind,0,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,>
2017-01-13,2017,0,7,2,1,0,0,10,2017 Mexico,2017 Mexico,NICU,NICU,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,>
2017-01-13,2017,0,8,1,1,0,0,17,2017 Mexico,2017 Mexico,Horn,Horn,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,","
2017-01-13,2017,0,9,4,1,0,0,4,2017 Mexico,2017 Mexico,Wolfman's Brother,Wolfman's,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,
2017-01-13,2017,0,10,2,2,0,0,12,2017 Mexico,2017 Mexico,A Song I Heard the Ocean Sing,ASIHTOS,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,>
2017-01-13,2017,0,11,2,2,0,0,8,2017 Mexico,2017 Mexico,The Wedge,Wedge,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,>
2017-01-13,2017,0,12,2,2,0,0,3,2017 Mexico,2017 Mexico,Fuego,Fuego,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,>
2017-01-13,2017,0,13,3,2,0,0,4,2017 Mexico,2017 Mexico,Prince Caspian,Caspian,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,->
2017-01-13,2017,0,14,3,2,0,0,1,2017 Mexico,2017 Mexico,Twist,Twist,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,->
2017-01-13,2017,0,15,2,2,0,0,10,2017 Mexico,2017 Mexico,Seven Below,Seven Below,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,>
2017-01-13,2017,0,16,2,2,0,0,7,2017 Mexico,2017 Mexico,Golgi Apparatus,Golgi,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,>
2017-01-13,2017,0,17,5,2,0,0,5,2017 Mexico,2017 Mexico,Run Like an Antelope,Antelope,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,
2017-01-13,2017,0,18,1,e,0,0,33,2017 Mexico,2017 Mexico,Contact,Contact,1,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,","
2017-01-13,2017,0,19,6,e,0,0,10,2017 Mexico,2017 Mexico,Bug,Bug,0,Barceló Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,
