showdate,showyear,exclude,position,transition,set,isjam,isreprise,gap,tourname,tourwhen,song,nickname,is_original,venue,city,state,country,trans_mark
2013-07-03,2013,0,1,2,1,0,0,1,2013 Summer Tour,2013 Summer,Possum,,1,Darling's Waterfront Pavilion,Bangor,ME,USA,>
2013-07-03,2013,0,2,1,1,0,0,2,2013 Summer Tour,2013 Summer,Runaway Jim,,1,Darling's Waterfront Pavilion,Bangor,ME,USA,","
2013-07-03,2013,0,3,1,1,0,0,4,2013 Summer Tour,2013 Summer,Stash,,1,Darling's Waterfront Pavilion,Bangor,ME,USA,","
2013-07-03,2013,0,4,2,1,0,0,14,2013 Summer Tour,2013 Summer,NICU,,1,Darling's Waterfront Pavilion,Bangor,ME,USA,>
2013-07-03,2013,0,5,1,1,0,0,4,2013 Summer Tour,2013 Summer,Wolfman's Brother,Wolfman's,1,Darling's Waterfront Pavilion,Bangor,ME,USA,","
2013-07-03,2013,0,6,1,1,0,0,1,2013 Summer Tour,2013 Summer,Rift,,1,Darling's Waterfront Pavilion,Bangor,ME,USA,","
2013-07-03,2013,0,7,2,1,0,0,4,2013 Summer Tour,2013 Summer,Theme From the Bottom,Theme,1,Darling's Waterfront Pavilion,Bangor,ME,USA,>
2013-07-03,2013,0,8,1,1,0,0,1,2013 Summer Tour,2013 Summer,Chalk Dust Torture,CDT,1,Darling's Waterfront Pavilion,Bangor,ME,USA,","
2013-07-03,2013,0,9,2,1,0,0,1,2013 Summer Tour,2013 Summer,Mike's Song,Mike's,1,Darling's Waterfront Pavilion,Bangor,ME,USA,>
2013-07-03,2013,0,10,2,1,0,0,1,2013 Summer Tour,2013 Summer,Silent in the Morning,Silent,1,Darling's Waterfront Pavilion,Bangor,ME,USA,>
2013-07-03,2013,0,11,4,1,0,0,1,2013 Summer Tour,2013 Summer,Weekapaug Groove,Weekapaug,1,Darling's Waterfront Pavilion,Bangor,ME,USA,
2013-07-03,2013,0,12,2,2,0,0,3,2013 Summer Tour,2013 Summer,Golden Age,,0,Darling's Waterfront Pavilion,Bangor,ME,USA,>
2013-07-03,2013,0,13,2,2,0,0,4,2013 Summer Tour,2013 Summer,Twist,,1,Darling's Waterfront Pavilion,Bangor,ME,USA,>
2013-07-03,2013,0,14,1,2,0,0,2,2013 Summer Tour,2013 Summer,Backwards Down the Number Line,BDTNL,0,Darling's Waterfront Pavilion,Bangor,ME,USA,","
2013-07-03,2013,0,15,1,2,0,0,2,2013 Summer Tour,2013 Summer,Ocelot,,1,Darling's Waterfront Pavilion,Bangor,ME,USA,","
2013-07-03,2013,0,16,2,2,0,0,3,2013 Summer Tour,2013 Summer,Rock and Roll,R&amp;R,0,Darling's Waterfront Pavilion,Bangor,ME,USA,>
2013-07-03,2013,0,17,2,2,0,0,1,2013 Summer Tour,2013 Summer,Also Sprach Zarathustra,2001,0,Darling's Waterfront Pavilion,Bangor,ME,USA,>
2013-07-03,2013,0,18,2,2,0,0,3,2013 Summer Tour,2013 Summer,Cavern,,1,Darling's Waterfront Pavilion,Bangor,ME,USA,>
2013-07-03,2013,0,19,5,2,0,0,2,2013 Summer Tour,2013 Summer,Run Like an Antelope,Antelope,1,Darling's Waterfront Pavilion,Bangor,ME,USA,
2013-07-03,2013,0,20,6,e,0,0,2,2013 Summer Tour,2013 Summer,Harry Hood,Hood,1,Darling's Waterfront Pavilion,Bangor,ME,USA,
2013-07-05,2013,0,1,1,1,0,0,5,2013 Summer Tour,2013 Summer,Kill Devil Falls,KDF,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,","
2013-07-05,2013,0,2,2,1,0,0,5,2013 Summer Tour,2013 Summer,The Moma Dance,Moma,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,>
2013-07-05,2013,0,3,1,1,0,0,2,2013 Summer Tour,2013 Summer,Sample in a Jar,Sample,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,","
2013-07-05,2013,0,4,1,1,0,0,2,2013 Summer Tour,2013 Summer,Roses Are Free,Roses,0,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,","
2013-07-05,2013,0,5,1,1,0,0,2,2013 Summer Tour,2013 Summer,Birds of a Feather,BOAF,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,","
2013-07-05,2013,0,6,1,1,0,0,1595,2013 Summer Tour,2013 Summer,Yarmouth Road,,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,","
2013-07-05,2013,0,7,1,1,0,0,4,2013 Summer Tour,2013 Summer,Bathtub Gin,Gin,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,","
2013-07-05,2013,0,8,1,1,0,0,5,2013 Summer Tour,2013 Summer,Nellie Kane,,0,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,","
2013-07-05,2013,0,9,2,1,0,0,5,2013 Summer Tour,2013 Summer,Army of One,,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,>
2013-07-05,2013,0,10,2,1,0,0,3,2013 Summer Tour,2013 Summer,"My Friend, My Friend",My Friend,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,>
2013-07-05,2013,0,11,3,1,0,0,3,2013 Summer Tour,2013 Summer,Cities,,0,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,->
2013-07-05,2013,0,12,4,1,0,0,5,2013 Summer Tour,2013 Summer,David Bowie,Bowie,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,
2013-07-05,2013,0,13,2,2,0,0,1603,2013 Summer Tour,2013 Summer,Energy,,0,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,>
2013-07-05,2013,0,14,3,2,0,0,2,2013 Summer Tour,2013 Summer,Light,,0,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,->
2013-07-05,2013,0,15,2,2,0,0,26,2013 Summer Tour,2013 Summer,The Mango Song,Mango,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,>
2013-07-05,2013,0,16,3,2,0,0,4,2013 Summer Tour,2013 Summer,46 Days,,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,->
2013-07-05,2013,0,17,2,2,0,0,25,2013 Summer Tour,2013 Summer,Steam,,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,>
2013-07-05,2013,0,18,2,2,0,0,33,2013 Summer Tour,2013 Summer,Drowned,,0,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,>
2013-07-05,2013,0,19,5,2,0,0,3,2013 Summer Tour,2013 Summer,Slave to the Traffic Light,Slave,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,
2013-07-05,2013,0,20,6,e,0,0,2,2013 Summer Tour,2013 Summer,Character Zero,,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,
2013-07-06,2013,0,1,2,1,0,0,5,2013 Summer Tour,2013 Summer,Crowd Control,,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,>
2013-07-06,2013,0,2,1,1,0,0,2,2013 Summer Tour,2013 Summer,Chalk Dust Torture,CDT,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,","
2013-07-06,2013,0,3,1,1,0,0,3,2013 Summer Tour,2013 Summer,The Wedge,Wedge,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,","
2013-07-06,2013,0,4,1,1,0,0,6,2013 Summer Tour,2013 Summer,Funky Bitch,,0,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,","
2013-07-06,2013,0,5,1,1,0,0,12,2013 Summer Tour,2013 Summer,Heavy Things,,1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,","
2013-07-06,2013,0,6,1,1,0,0,5,2013 Summer Tour,2013 Summer,Bug,,0,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,","
2013-07-06,2013,0,7,1,1,0,0,6,2013 Summer Tour,2013 Summer,Bouncing Around the Room,Bouncin',1,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,","
